City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,lihue,21.9789,-159.3672,26.58,72,40,3.6,US,1714509004
84,bredasdorp,-34.5322,20.0403,15.21,83,0,2.03,ZA,1714508949
85,maceio,-9.6658,-35.7353,28.69,78,20,4.12,BR,1714509005
86,puerto deseado,-47.7503,-65.8938,5.27,95,100,17.57,AR,1714509005
87,north bend,43.4065,-124.2243,13.47,76,100,7.72,US,1714508434
88,guerrero negro,27.9769,-114.0611,20.18,54,6,5.63,MX,1714509006
89,brooks,50.5834,-111.8851,6.99,63,100,9.77,CA,1714509007
90,meadow lake,34.8014,-106.5436,26.7,13,0,3.91,US,1714508443
91,papatowai,-46.5619,169.4708,8.69,90,100,4.78,NZ,1714508933
92,talcahuano,-36.7167,-73.1167,12.82,82,75,4.12,CL,1714508945
93,gidam,18.9833,81.4,28.5,48,4,0.37,IN,1714509008
94,toliara,-23.35,43.6667,22.9,84,0,1.64,MG,1714509008
95,ardakan,32.31,54.0175,22.86,27,98,0.45,IR,1714509009
96,college,64.8569,-147.8028,9.99,47,75,2.57,US,1714509009
97,mau aimma,25.7,81.9167,28.91,9,0,3.72,IN,1714509009
98,kars,40.602,43.095,12.25,62,40,4.63,TR,1714508999
99,tuy hoa,13.0833,109.3,26.26,81,100,1.63,VN,1714509010
100,impfondo,1.6381,18.0667,22.58,98,100,0.87,CG,1714509010
101,port douglas,-16.4833,145.4667,23.12,86,47,4.37,AU,1714508445
102,tiksi,71.6872,128.8694,-13.6,96,100,0.54,RU,1714509011
103,albany,42.6001,-73.9662,20.36,75,100,1.79,US,1714508940
104,weno,7.4515,151.8468,27.97,83,100,4.12,FM,1714509012
105,alesund,62.4723,6.1549,12.73,81,0,1.03,NO,1714509012
106,mokhsogollokh,61.4681,128.9203,-3.21,77,51,3.13,RU,1714509013
107,luorong,24.4058,109.6086,17.74,86,100,5.49,CN,1714509013
108,skagen,57.7209,10.5839,11.71,76,100,8.51,DK,1714509013
109,avarua,-21.2078,-159.775,27.03,74,75,4.12,CK,1714509014
110,takaungu,-3.6837,39.8566,28.27,83,23,7.72,KE,1714509014
111,cruzeiro do sul,-29.5128,-51.9853,23.56,96,31,0.95,BR,1714509015
112,ancud,-41.8697,-73.8203,9.1,61,8,4.31,CL,1714509015
113,mount isa,-20.7333,139.5,19.87,64,6,3.6,AU,1714509015
114,boende,-0.2167,20.8667,23.48,90,100,0.91,CD,1714509016
115,luderitz,-26.6481,15.1594,18.2,71,0,2.98,NA,1714509016
116,yellowknife,62.456,-114.3525,3.56,76,75,2.57,CA,1714508744
117,yangambi,0.8102,24.4336,24.25,82,53,1.06,CD,1714509017
118,tvoroyri,61.5556,-6.8111,8.28,95,100,5.95,FO,1714509017
119,novodvinsk,64.4165,40.8122,1.86,100,83,2.93,RU,1714509017
120,harstad,68.799,16.5293,5.45,89,75,2.24,NO,1714509018
121,piton saint-leu,-21.2196,55.3151,22.04,82,100,3.0,RE,1714509018
122,horta,38.5333,-28.6333,17.8,82,20,2.57,PT,1714508949
123,alice springs,-23.7,133.8833,9.75,66,85,2.06,AU,1714509009
124,kavieng,-2.5744,150.7967,27.81,79,89,2.77,PG,1714509019
125,aasiaat,68.7098,-52.8699,-7.42,77,30,3.63,GL,1714509020
126,hawaiian paradise park,19.5933,-154.9731,26.73,85,40,3.6,US,1714509020
127,cockburn town,21.4612,-71.1419,25.42,71,36,8.46,TC,1714508470
128,ermenek,36.6404,32.8918,12.33,87,26,1.61,TR,1714509021
129,olonkinbyen,70.9221,-8.7187,-0.17,83,100,1.52,SJ,1714509021
130,la ronge,55.1001,-105.2842,14.14,30,20,7.72,CA,1714508916
131,port-vila,-17.7338,168.3219,24.78,88,75,2.06,VU,1714509022
132,sampit,-2.5333,112.95,24.58,98,100,0.57,ID,1714509022
133,port augusta,-32.5,137.7667,8.24,66,0,2.38,AU,1714509023
134,port elizabeth,-33.918,25.5701,17.16,84,0,5.14,ZA,1714508661
135,mujiayingzi,42.1167,118.7833,7.12,47,0,3.69,CN,1714509023
136,blackmans bay,-43.0167,147.3167,6.07,91,7,0.45,AU,1714508943
137,callao,-12.0667,-77.15,23.16,68,0,4.63,PE,1714508942
138,manokwari,-0.8667,134.0833,26.28,82,100,1.98,ID,1714509025
139,sisimiut,66.9395,-53.6735,-2.62,76,15,2.42,GL,1714509025
140,uturoa,-16.7333,-151.4333,27.19,76,100,9.39,PF,1714509025
141,yakeshi,49.2833,120.7333,8.05,35,13,3.51,CN,1714509026
142,punta arenas,-53.15,-70.9167,5.06,65,0,4.63,CL,1714508811
143,along,28.1667,94.7667,17.9,72,95,0.55,IN,1714509026
144,kavaratti,10.5669,72.642,30.41,66,97,4.31,IN,1714509027
145,yung shue wan,22.2333,114.1167,24.06,91,100,0.89,HK,1714509027
146,acarau,-2.8856,-40.12,23.98,94,100,3.12,BR,1714508441
147,arkalyk,50.2486,66.9114,2.52,81,100,9.1,KZ,1714509028
148,rio verde,21.9333,-99.9833,36.75,16,36,5.05,MX,1714509028
149,tura,25.5198,90.2201,25.0,91,17,4.24,IN,1714509028
150,yen bai,21.7,104.8667,24.63,83,9,0.76,VN,1714509029
151,ilulissat,69.2167,-51.1,-4.99,68,75,4.12,GL,1714508946
152,san luis de la loma,17.2706,-100.8939,29.96,57,95,3.47,MX,1714509030
153,inari,68.906,27.0288,2.11,94,66,1.24,FI,1714508905
154,elkins,38.9259,-79.8467,21.14,75,100,4.63,US,1714508880
155,loango,-4.6719,11.8312,27.81,94,20,2.57,CG,1714509030
156,fonte boa,-2.4959,-66.2662,27.86,86,100,1.57,BR,1714509031
157,es castell,39.8795,4.2854,14.38,94,75,2.57,ES,1714509031
158,arraial do cabo,-22.9661,-42.0278,26.92,74,0,7.2,BR,1714508801
159,salinopolis,-0.6136,-47.3561,26.83,86,100,6.09,BR,1714509032
